impulse_data_id	measurement_id	impulse_data_start_time	impulse_data_end_time	impulse_data_duration	impulse_data_threshold	impulse_data_min	impulse_data_avg	impulse_data_max	Threshold	ScanWindowSize	PreImpulseSize	PostImpulseSize	TimeOfMin	TimeOfMax	Severity	Rank
486518	102032	2020-11-16 6:11:45	2020-11-16 6:16:01	256	19.84616	52.38462	85.28192982	92.38462	258	200	200	500	2020-11-16 6:12:44	2020-11-16 6:13:27	0.9380650763	4
time_stamp	value
2020-11-16 06:13:27.2500000	53
2020-11-16 06:13:27.5000000	53
2020-11-16 06:13:27.7500000	53.23077
2020-11-16 06:13:28.0000000	53.53847
2020-11-16 06:13:28.2500000	54.30769
2020-11-16 06:13:28.5000000	54.92308
2020-11-16 06:13:28.7500000	55.84615
2020-11-16 06:13:29.0000000	56.76923
2020-11-16 06:13:29.2500000	57.92308
2020-11-16 06:13:29.5000000	59.30769
2020-11-16 06:13:29.7500000	60.92308
2020-11-16 06:13:30.0000000	62.38462
2020-11-16 06:13:30.2500000	64.07693
2020-11-16 06:13:30.5000000	65.38462
2020-11-16 06:13:30.7500000	67
2020-11-16 06:13:31.0000000	68.38462
2020-11-16 06:13:31.2500000	69.92308
2020-11-16 06:13:31.5000000	71.30769
2020-11-16 06:13:31.7500000	72.92308
2020-11-16 06:13:32.0000000	74.15385
2020-11-16 06:13:32.2500000	75.76923
2020-11-16 06:13:32.5000000	77
2020-11-16 06:13:32.7500000	78.53847
2020-11-16 06:13:33.0000000	79.69231
2020-11-16 06:13:33.2500000	81.07693
2020-11-16 06:13:33.5000000	82.07693
2020-11-16 06:13:33.7500000	83.30769
2020-11-16 06:13:34.0000000	84.30769
2020-11-16 06:13:34.2500000	85.23077
2020-11-16 06:13:34.5000000	86.23077
2020-11-16 06:13:34.7500000	86.76923
2020-11-16 06:13:35.0000000	87.46154
2020-11-16 06:13:35.2500000	88.00001
2020-11-16 06:13:35.5000000	88.76923
2020-11-16 06:13:35.7500000	88.76923
2020-11-16 06:13:36.0000000	89.46154
2020-11-16 06:13:36.2500000	89.38462
2020-11-16 06:13:36.5000000	89.61539
2020-11-16 06:13:36.7500000	89.69231
2020-11-16 06:13:37.0000000	89.69231
2020-11-16 06:13:37.2500000	89.69231
2020-11-16 06:13:37.5000000	89.76923
2020-11-16 06:13:37.7500000	89.46154
2020-11-16 06:13:38.0000000	89.38462
2020-11-16 06:13:38.2500000	89.15385
2020-11-16 06:13:38.5000000	88.84616
2020-11-16 06:13:38.7500000	88.69231
2020-11-16 06:13:39.0000000	88.30769
2020-11-16 06:13:39.2500000	88.07693
2020-11-16 06:13:39.5000000	87.53847
2020-11-16 06:13:39.7500000	87.15385
2020-11-16 06:13:40.0000000	86.76923
2020-11-16 06:13:40.2500000	86.46154
2020-11-16 06:13:40.5000000	85.84616
2020-11-16 06:13:40.7500000	85.53847
2020-11-16 06:13:41.0000000	85.15385
2020-11-16 06:13:41.2500000	84.84616
2020-11-16 06:13:41.5000000	84.23077
2020-11-16 06:13:41.7500000	84
2020-11-16 06:13:42.0000000	83.84616
2020-11-16 06:13:42.2500000	83.38462
2020-11-16 06:13:42.5000000	83.30769
2020-11-16 06:13:42.7500000	82.84616
2020-11-16 06:13:43.0000000	82.38462
2020-11-16 06:13:43.2500000	82.30769
2020-11-16 06:13:43.5000000	82
2020-11-16 06:13:43.7500000	81.76923
2020-11-16 06:13:44.0000000	81.69231
2020-11-16 06:13:44.2500000	81.46154
2020-11-16 06:13:44.5000000	81.38462
2020-11-16 06:13:44.7500000	81.15385
2020-11-16 06:13:45.0000000	80.92308
2020-11-16 06:13:45.2500000	80.69231
2020-11-16 06:13:45.5000000	80.76923
2020-11-16 06:13:45.7500000	80.46154
2020-11-16 06:13:46.0000000	80.15385
2020-11-16 06:13:46.2500000	79.69231
2020-11-16 06:13:46.5000000	79.46154
2020-11-16 06:13:46.7500000	79.38462
2020-11-16 06:13:47.0000000	78.76923
2020-11-16 06:13:47.2500000	78.46154
2020-11-16 06:13:47.5000000	78.30769
2020-11-16 06:13:47.7500000	77.92308
2020-11-16 06:13:48.0000000	77.92308
2020-11-16 06:13:48.2500000	77.76923
2020-11-16 06:13:48.5000000	77.46154
2020-11-16 06:13:48.7500000	77.53847
2020-11-16 06:13:49.0000000	77.38462
2020-11-16 06:13:49.2500000	77.07693
2020-11-16 06:13:49.5000000	76.84616
2020-11-16 06:13:49.7500000	76.84616
